Event 1,,,,,,,,,,,,,,Length Strata (values set on the KS Input tab),,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big
1,203,,11,3/11/2025,,20392,890,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,204,,11,3/11/2025,,20393,620,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,205,,11,3/11/2025,,20394,590,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,206,,11,3/11/2025,,20395,631,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,207,,12,3/11/2025,,20022,687,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,208,,12,3/11/2025,,20023,926,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,209,,12,3/11/2025,,20024,604,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,210,,12,3/11/2025,,20025,880,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,211,,12,3/11/2025,,20050,609,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,212,,12,3/11/2025,,20049,775,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,213,,12,3/11/2025,,20048,691,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,214,,12,3/11/2025,,20045,650,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,215,,12,3/11/2025,,20044,802,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,216,,12,3/11/2025,,20043,595,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,217,,12,3/11/2025,,20042,700,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,218,,12,3/11/2025,,20041,1000,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,219,,12,3/11/2025,,20040,715,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,220,,12,3/11/2025,,20038,741,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
